Unique_client_ID,Race/Ethnicity,Gender,Age_group_at_assessment,TOTAL_SCORE,Housing_destination,is_perm_housed,Gender_Female,Race_Black,Race_Latino,Race_Asian,Age_Youth,Age_GenX,Age_Boomer,HISTORY_SUB_SCORE,RISKS_SUB_SCORE,SOCIALIZATION_SUB_SCORE,WELLNESS_SUB_SCORE,Housing_status,y_proba
30579,White,Female,45-59,11,Permanently Housed,1,1,0,0,0,0,1,0,2,3,2,4,1,0.1740964
30592,White,Male,45-59,16,Permanently Housed,1,0,0,0,0,0,1,0,2,4,4,6,1,0.25637382
30594,White,Male,45-59,4,Permanently Housed,1,0,0,0,0,0,1,0,1,1,2,0,1,0.18262465
30596,Latino,Male,45-59,10,Permanently Housed,1,0,0,1,0,0,1,0,2,2,3,3,1,0.16887292
30601,Black,Male,45-59,10,Permanently Housed,1,0,1,0,0,0,1,0,2,2,3,3,1,0.23273544
30605,Latino,Male,45-59,5,Permanently Housed,1,0,0,1,0,0,1,0,1,2,1,1,1,0.19097894
30606,Black,Female,45-59,15,Permanently Housed,1,1,1,0,0,0,1,0,1,4,4,6,1,0.45933443
30614,White,Male,45-59,14,Permanently Housed,1,0,0,0,0,0,1,0,1,4,3,6,1,0.28775945
30628,Latino,Female,,12,Permanently Housed,1,1,0,1,0,0,0,0,1,4,2,5,1,0.15557553
30631,White,Female,60+,3,Permanently Housed,1,1,0,0,0,0,0,1,2,0,0,0,1,0.44532508
30632,Latino,Male,45-59,3,Permanently Housed,1,0,0,1,0,0,1,0,1,0,1,1,1,0.18891288
30640,White,Male,45-59,5,Permanently Housed,1,0,0,0,0,0,1,0,1,1,0,3,1,0.20475237
30646,White,Female,,15,Permanently Housed,1,1,0,0,0,0,0,0,2,3,4,6,1,0.17919986
30647,Black,Male,45-59,9,Permanently Housed,1,0,1,0,0,0,1,0,0,3,2,4,1,0.41512367
30658,Latino,Male,45-59,3,Permanently Housed,1,0,0,1,0,0,1,0,1,0,1,1,1,0.18891288
30662,Latino,Male,45-59,5,Permanently Housed,1,0,0,1,0,0,1,0,1,1,2,1,1,0.17772232
30663,Latino,Male,45-59,9,Permanently Housed,1,0,0,1,0,0,1,0,2,2,1,4,1,0.14376749
30670,Black,Female,45-59,3,Permanently Housed,1,1,1,0,0,0,1,0,2,0,1,0,1,0.29956758
30677,Black,Male,45-59,2,Permanently Housed,1,0,1,0,0,0,1,0,0,1,1,0,1,0.30919307
30678,White,Female,45-59,0,Permanently Housed,1,1,0,0,0,0,1,0,0,0,0,0,1,0.426244
30679,Black,Male,60+,1,Permanently Housed,1,0,1,0,0,0,0,1,0,0,0,0,1,0.34591284
30683,Black,Male,45-59,11,Permanently Housed,1,0,1,0,0,0,1,0,1,4,2,4,1,0.3090892
30688,Black,Male,45-59,12,Permanently Housed,1,0,1,0,0,0,1,0,2,2,3,5,1,0.25335422
30691,Black,Male,45-59,3,Permanently Housed,1,0,1,0,0,0,1,0,2,1,0,0,1,0.23038658
30693,Black,Female,45-59,15,Permanently Housed,1,1,1,0,0,0,1,0,2,4,3,6,1,0.39059398
30694,Black,Male,,14,Permanently Housed,1,0,1,0,0,0,0,0,2,4,4,4,1,0.22573216
30697,White,Male,,6,Permanently Housed,1,0,0,0,0,0,0,0,2,0,1,3,1,0.119840294
30700,Latino,Male,45-59,11,Permanently Housed,1,0,0,1,0,0,1,0,1,4,3,3,1,0.22968706
30712,White,Male,,14,Permanently Housed,1,0,0,0,0,0,0,0,2,3,4,5,1,0.14388834
30713,Black,Male,45-59,13,Permanently Housed,1,0,1,0,0,0,1,0,2,3,2,6,1,0.22197632
30721,Black,Female,18-24,1,Permanently Housed,1,1,1,0,0,1,0,0,1,0,0,0,1,0.27334088
30724,White,Female,60+,15,Permanently Housed,1,1,0,0,0,0,0,1,2,3,3,6,1,0.23430452
30729,Black,Male,45-59,6,Permanently Housed,1,0,1,0,0,0,1,0,1,0,1,4,1,0.20466019
30745,Black,Male,45-59,8,Permanently Housed,1,0,1,0,0,0,1,0,2,2,1,3,1,0.22312976
30746,White,Male,45-59,15,Permanently Housed,1,0,0,0,0,0,1,0,2,3,4,6,1,0.23727879
30747,Black,Female,,10,Permanently Housed,1,1,1,0,0,0,0,0,1,4,1,4,1,0.1617167
30748,Black,Male,45-59,10,Permanently Housed,1,0,1,0,0,0,1,0,1,3,3,3,1,0.31132007
30749,Black,Male,45-59,8,Permanently Housed,1,0,1,0,0,0,1,0,2,1,3,2,1,0.23152004
30755,White,Male,60+,11,Permanently Housed,1,0,0,0,0,0,0,1,0,2,3,5,1,0.33371714
30756,Black,Male,45-59,15,Permanently Housed,1,0,1,0,0,0,1,0,2,4,4,5,1,0.3735728
30757,White,Male,,8,Permanently Housed,1,0,0,0,0,0,0,0,2,1,2,3,1,0.11763563
30759,Latino,Male,45-59,7,Permanently Housed,1,0,0,1,0,0,1,0,1,2,1,3,1,0.15879467
30763,White,Male,45-59,16,Permanently Housed,1,0,0,0,0,0,1,0,2,4,4,6,1,0.25637382
30766,White,Male,60+,9,Permanently Housed,1,0,0,0,0,0,0,1,2,2,2,2,1,0.17989235
30771,Latino,Female,45-59,9,Permanently Housed,1,1,0,1,0,0,1,0,2,0,3,4,1,0.24377008
30786,Latino,Female,45-59,15,Permanently Housed,1,1,0,1,0,0,1,0,2,4,4,5,1,0.31803787
30787,Black,Female,45-59,10,Permanently Housed,1,1,1,0,0,0,1,0,2,2,3,2,1,0.26270816
30791,White,Female,45-59,12,Permanently Housed,1,1,0,0,0,0,1,0,2,4,3,3,1,0.23633434
30795,Black,Male,,4,Permanently Housed,1,0,1,0,0,0,0,0,2,0,1,1,1,0.1981597
30796,Black,Male,60+,11,Permanently Housed,1,0,1,0,0,0,0,1,2,3,2,3,1,0.28473848
30797,Latino,Female,45-59,13,Permanently Housed,1,1,0,1,0,0,1,0,1,3,4,5,1,0.27677727
30802,Black,Female,45-59,14,Permanently Housed,1,1,1,0,0,0,1,0,1,4,3,6,1,0.40028283
30803,Black,Female,60+,14,Permanently Housed,1,1,1,0,0,0,0,1,2,3,4,4,1,0.29922011
30825,Latino,Male,,11,Permanently Housed,1,0,0,1,0,0,0,0,2,3,3,3,1,0.11143707
30827,White,Male,,13,Permanently Housed,1,0,0,0,0,0,0,0,1,3,4,5,1,0.20455568
30836,White,Male,60+,7,Permanently Housed,1,0,0,0,0,0,0,1,0,2,2,2,1,0.22656131
30837,Black,Male,,0,Permanently Housed,1,0,1,0,0,0,0,0,0,0,0,0,1,0.33541873
30842,Asian,Male,45-59,9,Permanently Housed,1,0,0,0,1,0,1,0,2,1,3,3,1,0.1413495
30843,Black,Male,,4,Permanently Housed,1,0,1,0,0,0,0,0,1,0,3,0,1,0.24112806
30848,White,Male,45-59,15,Permanently Housed,1,0,0,0,0,0,1,0,2,4,3,6,1,0.24888709
30855,White,Male,,14,Permanently Housed,1,0,0,0,0,0,0,0,2,4,3,5,1,0.13015358
30863,Latino,Female,45-59,4,Permanently Housed,1,1,0,1,0,0,1,0,2,0,2,0,1,0.164556
30865,Asian,Male,60+,7,Permanently Housed,1,0,0,0,1,0,0,1,1,1,2,2,1,0.30336326
30879,White,Male,60+,5,Permanently Housed,1,0,0,0,0,0,0,1,1,1,2,0,1,0.25139222
